"Rec No","Orderid","Ordervgepointer","Orderbol","Createdby","Locked","Orderprinted","Ordercancelled","Orderdate","Cancelledby","Cancelleddate"
        6362,         2036,         1037,        63940,"myriam",  0,  1,  0,20151218,,
        6363,         2037,         1037,        63961,"myriam",  0,  1,  0,20151218,,
        6364,         2038,         1037,        63933,"myriam",  0,  1,  0,20151218,,
        6365,         2039,         1037,        63926,"myriam",  0,  1,  0,20151218,,
        6366,         2040,         1037,        63937,"myriam",  0,  1,  0,20151218,,
        6367,         2041,         1037,        63912,"myriam",  0,  1,  0,20151218,,
        6368,         2042,         1037,        63972,"myriam",  0,  1,  0,20151218,,
        6369,         2043,         1037,        63945,"myriam",  0,  1,  0,20151218,,
        6370,         2044,         1037,        63967,"myriam",  0,  1,  0,20151218,,
        6371,         2045,         1037,        63909,"myriam",  0,  1,  0,20151218,,
        6372,         2046,         1037,        63946,"myriam",  0,  1,  0,20151218,,
        6373,         2047,         1037,        63934,"myriam",  0,  1,  0,20151218,,
        6374,         2048,         1037,        63922,"myriam",  0,  1,  0,20151218,,
        6375,         2049,         1037,        63969,"myriam",  0,  1,  0,20151218,,
        6376,         2050,         1037,        63935,"myriam",  0,  1,  0,20151218,,
        6377,         2051,         1037,        63942,"myriam",  0,  1,  0,20151218,,
        6378,         2052,         1037,        63911,"myriam",  0,  1,  0,20151218,,
        6379,         2053,         1037,        63923,"myriam",  0,  1,  0,20151218,,
        6380,         2054,         1037,        63978,"myriam",  0,  1,  0,20151218,,
        6381,         2055,         1037,        63976,"myriam",  0,  1,  0,20151218,,
        6382,         2056,         1037,        63913,"myriam",  0,  1,  0,20151218,,
        6383,         2057,         1037,        63963,"myriam",  0,  1,  0,20151218,,
        6384,         2058,         1037,        63915,"myriam",  0,  1,  0,20151218,,
        6385,         2059,         1037,        63962,"myriam",  0,  1,  0,20151218,,
        6386,         2060,         1037,        63944,"myriam",  0,  1,  0,20151218,,
        6387,         2061,         1037,        63939,"myriam",  0,  1,  0,20151218,,
        6388,         2062,         1037,        63910,"myriam",  0,  1,  0,20151218,,
        6389,         2063,         1032,        63597,"myriam",  0,  1,  0,20151218,,
        6390,         2064,         1049,        64756,"chevaughn",  0,  1,  0,20151222,,
        6391,         2065,         1049,        64718,"chevaughn",  0,  1,  0,20151222,,
        6392,         2066,         1049,        64719,"chevaughn",  0,  1,  0,20151222,,
        6393,         2067,         1049,        64763,"chevaughn",  0,  1,  0,20151222,,
        6396,         2068,         1049,        64724,"chevaughn",  0,  1,  0,20151222,,
        6397,         2069,         1049,        64713,"chevaughn",  0,  1,  0,20151222,,
        6398,         2070,         1049,        64730,"chevaughn",  0,  1,  0,20151222,,
        6399,         2071,         1049,        64736,"chevaughn",  0,  1,  0,20151222,,
        6400,         2072,         1049,        64714,"chevaughn",  0,  1,  0,20151222,,
        6401,         2073,         1049,        64771,"chevaughn",  0,  1,  0,20151222,,
        6402,         2074,         1049,        64762,"chevaughn",  0,  1,  0,20151222,,
        6403,         2075,         1049,        64723,"chevaughn",  0,  1,  0,20151222,,
        6404,         2076,         1049,        64764,"chevaughn",  0,  1,  0,20151222,,
        6405,         2077,         1049,        64747,"chevaughn",  0,  1,  0,20151222,,
        6406,         2078,         1049,        64768,"chevaughn",  0,  1,  0,20151222,,
        6407,         2079,         1049,        64754,"chevaughn",  0,  1,  0,20151222,,
        6408,         2080,         1049,        64760,"chevaughn",  0,  1,  0,20151222,,
        6409,         2081,         1049,        64755,"chevaughn",  0,  1,  0,20151222,,
        6410,         2082,         1049,        64758,"chevaughn",  0,  1,  0,20151222,,
        6411,         2083,         1049,        64717,"chevaughn",  0,  1,  0,20151222,,
        6412,         2084,         1049,        64751,"chevaughn",  0,  1,  0,20151222,,
        6413,         2085,         1049,        64726,"chevaughn",  0,  1,  0,20151222,,
        6414,         2086,         1049,        64715,"chevaughn",  0,  1,  0,20151222,,
        6415,         2087,         1049,        64767,"chevaughn",  0,  1,  0,20151222,,
        6416,         2088,         1049,        64737,"chevaughn",  0,  1,  0,20151222,,
        6417,         2089,         1049,        64720,"chevaughn",  0,  1,  0,20151222,,
        6418,         2090,         1049,        64766,"chevaughn",  0,  1,  0,20151222,,
        6419,         2091,         1049,        64732,"chevaughn",  0,  1,  0,20151222,,
        6420,         2092,         1049,        64744,"chevaughn",  0,  1,  0,20151222,,
        6421,         2093,         1049,        64731,"chevaughn",  0,  1,  0,20151222,,
        6422,         2094,         1049,        64753,"chevaughn",  0,  1,  0,20151222,,
        6423,         2095,         1049,        64738,"chevaughn",  0,  1,  0,20151222,,
        6424,         2096,         1049,        64733,"chevaughn",  0,  1,  0,20151222,,
        6425,         2097,         1049,        64712,"chevaughn",  0,  1,  0,20151222,,
        6426,         2098,         1049,        64721,"chevaughn",  0,  1,  0,20151222,,
        6427,         2099,         1049,        64750,"chevaughn",  0,  1,  0,20151222,,
        6428,         2100,         1049,        64770,"chevaughn",  0,  1,  0,20151222,,
        6429,         2101,         1049,        64752,"chevaughn",  0,  1,  0,20151222,,
        6430,         2102,         1049,        64740,"chevaughn",  0,  1,  0,20151222,,
        6431,         2103,         1049,        64757,"chevaughn",  0,  1,  0,20151222,,
        6432,         2104,         1049,        64749,"chevaughn",  0,  1,  0,20151222,,
        6433,         2105,         1049,        64769,"chevaughn",  0,  1,  0,20151222,,
        6434,         2106,         1049,        64761,"chevaughn",  0,  1,  0,20151222,,
        6435,         2107,         1049,        64735,"chevaughn",  0,  1,  0,20151222,,
        6436,         2108,         1049,        64746,"chevaughn",  0,  1,  0,20151222,,
        6437,         2109,         1049,        64729,"chevaughn",  0,  1,  0,20151222,,
        6438,         2110,         1049,        64748,"chevaughn",  0,  1,  0,20151222,,
        6439,         2111,         1049,        64765,"chevaughn",  0,  1,  0,20151222,,
        6440,         2112,         1049,        64709,"chevaughn",  0,  1,  0,20151222,,
        6441,         2113,         1049,        64742,"chevaughn",  0,  1,  0,20151222,,
        6442,         2114,         1049,        64722,"chevaughn",  0,  1,  0,20151222,,
        6443,         2115,         1049,        64759,"chevaughn",  0,  1,  0,20151222,,
        6444,         2116,         1049,        64739,"chevaughn",  0,  1,  0,20151222,,
        6445,         2117,         1049,        64716,"chevaughn",  0,  1,  0,20151222,,
        6446,         2118,         1049,        64741,"chevaughn",  0,  1,  0,20151222,,
        6447,         2119,         1049,        64743,"chevaughn",  0,  1,  0,20151222,,
        6448,         2120,         1049,        64728,"chevaughn",  0,  1,  0,20151222,,
        6449,         2121,         1049,        64727,"chevaughn",  0,  1,  0,20151222,,
        6450,         2122,         1049,        64711,"chevaughn",  0,  1,  0,20151222,,
        6451,         2123,         1049,        64734,"chevaughn",  0,  1,  0,20151222,,
        6452,         2124,         1049,        64725,"chevaughn",  0,  1,  0,20151222,,
        6453,         2125,         1049,        64745,"chevaughn",  0,  1,  0,20151222,,
        6454,         2126,         1049,        64710,"chevaughn",  0,  1,  0,20151222,,
        6458,         2127,         1040,        64066,"myriam",  0,  1,  0,20151224,,
        6459,         2128,         1040,        64097,"myriam",  0,  1,  0,20151224,,
        6460,         2129,         1040,        64114,"myriam",  0,  1,  0,20151224,,
        6461,         2130,         1040,        64062,"myriam",  0,  1,  0,20151224,,
        6462,         2131,         1040,        64084,"myriam",  0,  1,  0,20151224,,
        6463,         2132,         1040,        64122,"myriam",  0,  1,  0,20151224,,
        6465,         2133,         1040,        64068,"VENNESA",  0,  1,  0,20151228,,
        6466,         2134,         1040,        64113,"VENNESA",  0,  1,  0,20151228,,
        6467,         2135,         1040,        64104,"VENNESA",  0,  1,  0,20151228,,
        6468,         2136,         1040,        64078,"VENNESA",  0,  1,  0,20151228,,
        6469,         2137,         1040,        64073,"VENNESA",  0,  1,  0,20151228,,
        6470,         2138,         1040,        64108,"VENNESA",  0,  1,  0,20151228,,
        6471,         2139,         1040,        64076,"VENNESA",  0,  1,  0,20151228,,
        6472,         2140,         1040,        64075,"VENNESA",  0,  1,  0,20151228,,
        6473,         2141,         1040,        64090,"VENNESA",  0,  1,  0,20151228,,
        6474,         2142,         1040,        64086,"VENNESA",  0,  1,  0,20151228,,
        6475,         2143,         1040,        64116,"VENNESA",  0,  1,  0,20151228,,
        6476,         2144,         1040,        64092,"VENNESA",  0,  1,  0,20151228,,
        6477,         2145,         1040,        64121,"VENNESA",  0,  1,  0,20151228,,
        6478,         2146,         1040,        64095,"VENNESA",  0,  1,  0,20151228,,
        6479,         2147,         1040,        64081,"VENNESA",  0,  1,  0,20151228,,
        6480,         2148,         1040,        64071,"VENNESA",  0,  1,  0,20151228,,
        6481,         2149,         1040,        64111,"VENNESA",  0,  1,  0,20151228,,
        6482,         2150,         1040,        64093,"VENNESA",  0,  1,  0,20151228,,
        6483,         2151,         1040,        64117,"VENNESA",  0,  1,  0,20151228,,
        6484,         2152,         1040,        64089,"VENNESA",  0,  1,  0,20151228,,
        6485,         2153,         1040,        64105,"VENNESA",  0,  1,  0,20151228,,
        6486,         2154,         1040,        64096,"VENNESA",  0,  1,  0,20151228,,
        6487,         2155,         1040,        64063,"VENNESA",  0,  1,  0,20151228,,
        6488,         2156,         1040,        64060,"VENNESA",  0,  1,  0,20151228,,
        6489,         2157,         1040,        64100,"VENNESA",  0,  1,  0,20151228,,
        6490,         2158,         1040,        64074,"VENNESA",  0,  1,  0,20151228,,
        6491,         2159,         1040,        64070,"VENNESA",  0,  1,  0,20151228,,
        6492,         2160,         1040,        64065,"VENNESA",  0,  1,  0,20151228,,
        6493,         2161,         1040,        64067,"VENNESA",  0,  1,  0,20151228,,
        6494,         2162,         1040,        64061,"VENNESA",  0,  1,  0,20151228,,
        6495,         2163,         1040,        64064,"VENNESA",  0,  1,  0,20151228,,
        6496,         2164,         1040,        64094,"VENNESA",  0,  1,  0,20151228,,
        6497,         2165,         1040,        64110,"VENNESA",  0,  1,  0,20151228,,
        6498,         2166,         1040,        64083,"VENNESA",  0,  1,  0,20151228,,
        6499,         2167,         1040,        64077,"VENNESA",  0,  1,  0,20151228,,
        6500,         2168,         1040,        64091,"VENNESA",  0,  1,  0,20151228,,
        6501,         2169,         1040,        64103,"VENNESA",  0,  1,  0,20151228,,
        6502,         2170,         1040,        64098,"VENNESA",  0,  1,  0,20151228,,
        6503,         2171,         1040,        64118,"VENNESA",  0,  1,  0,20151228,,
        6504,         2172,         1040,        64088,"VENNESA",  0,  1,  0,20151228,,
        6505,         2173,         1040,        64101,"VENNESA",  0,  1,  0,20151228,,
        6506,         2174,         1040,        64123,"VENNESA",  0,  1,  0,20151228,,
        6507,         2175,         1040,        64080,"VENNESA",  0,  1,  0,20151228,,
        6508,         2176,         1040,        64072,"VENNESA",  0,  1,  0,20151228,,
        6509,         2177,         1040,        64099,"VENNESA",  0,  1,  0,20151228,,
        6510,         2178,         1040,        64106,"VENNESA",  0,  1,  0,20151228,,
        6511,         2179,         1040,        64112,"VENNESA",  0,  1,  0,20151228,,
        6512,         2180,         1040,        64102,"VENNESA",  0,  1,  0,20151228,,
        6513,         2181,         1040,        64115,"VENNESA",  0,  1,  0,20151228,,
        6514,         2182,         1040,        64082,"VENNESA",  0,  1,  0,20151228,,
        6515,         2183,         1040,        64079,"VENNESA",  0,  1,  0,20151228,,
        6516,         2184,         1040,        64107,"VENNESA",  0,  1,  0,20151228,,
        6517,         2185,         1040,        64087,"VENNESA",  0,  1,  0,20151228,,
        6518,         2186,         1040,        64085,"VENNESA",  0,  1,  0,20151228,,
        6519,         2187,         1040,        64120,"VENNESA",  0,  1,  0,20151228,,
        6520,         2188,         1040,        64119,"VENNESA",  0,  1,  0,20151228,,
        6521,         2189,         1040,        64109,"VENNESA",  0,  1,  0,20151228,,
        6522,         2190,         1040,        64069,"VENNESA",  0,  1,  0,20151228,,
        6523,         2191,         1042,        64200,"chevaughn",  0,  1,  0,20151229,,
        6524,         2192,         1042,        64265,"chevaughn",  0,  1,  0,20151229,,
        6525,         2193,         1042,        64217,"chevaughn",  0,  1,  0,20151229,,
        6526,         2194,         1042,        64207,"chevaughn",  0,  1,  0,20151229,,
        6527,         2195,         1042,        64206,"chevaughn",  0,  1,  0,20151229,,
        6528,         2196,         1042,        64224,"chevaughn",  0,  1,  0,20151229,,
        6529,         2197,         1042,        64255,"chevaughn",  0,  1,  0,20151229,,
        6530,         2198,         1042,        64258,"chevaughn",  0,  1,  0,20151229,,
        6531,         2199,         1042,        64211,"chevaughn",  0,  1,  0,20151229,,
        6532,         2200,         1042,        64271,"chevaughn",  0,  1,  0,20151229,,
        6533,         2201,         1042,        64222,"chevaughn",  0,  1,  0,20151229,,
        6534,         2202,         1042,        64238,"chevaughn",  0,  1,  0,20151229,,
        6535,         2203,         1042,        64268,"chevaughn",  0,  1,  0,20151229,,
        6536,         2204,         1042,        64212,"chevaughn",  0,  1,  0,20151229,,
        6537,         2205,         1042,        64223,"chevaughn",  0,  1,  0,20151229,,
        6538,         2206,         1042,        64253,"chevaughn",  0,  1,  0,20151229,,
        6539,         2207,         1042,        64270,"chevaughn",  0,  1,  0,20151229,,
        6541,         2208,         1042,        64214,"chevaughn",  0,  1,  0,20151229,,
        6542,         2209,         1042,        64213,"chevaughn",  0,  1,  0,20151229,,
        6543,         2210,         1042,        64264,"chevaughn",  0,  1,  0,20151229,,
        6544,         2211,         1042,        64249,"chevaughn",  0,  1,  0,20151229,,
        6545,         2212,         1042,        64239,"chevaughn",  0,  1,  0,20151229,,
        6546,         2213,         1042,        64241,"chevaughn",  0,  1,  0,20151229,,
        6547,         2214,         1042,        64248,"chevaughn",  0,  1,  0,20151229,,
        6548,         2215,         1042,        64247,"chevaughn",  0,  1,  0,20151229,,
        6549,         2216,         1042,        64232,"chevaughn",  0,  1,  0,20151229,,
        6550,         2217,         1042,        64242,"chevaughn",  0,  1,  0,20151229,,
        6551,         2218,         1042,        64219,"chevaughn",  0,  1,  0,20151229,,
        6552,         2219,         1042,        64237,"chevaughn",  0,  1,  0,20151229,,
        6553,         2220,         1042,        64244,"chevaughn",  0,  1,  0,20151229,,
        6554,         2221,         1042,        64221,"chevaughn",  0,  1,  0,20151229,,
        6555,         2222,         1042,        64267,"chevaughn",  0,  1,  0,20151229,,
        6556,         2223,         1042,        64266,"chevaughn",  0,  1,  0,20151229,,
        6557,         2224,         1042,        64250,"chevaughn",  0,  1,  0,20151229,,
        6558,         2225,         1042,        64251,"chevaughn",  0,  1,  0,20151229,,
        6559,         2226,         1042,        64261,"chevaughn",  0,  1,  0,20151229,,
        6560,         2227,         1042,        64233,"chevaughn",  0,  1,  0,20151229,,
        6561,         2228,         1042,        64262,"chevaughn",  0,  1,  0,20151229,,
        6562,         2229,         1042,        64257,"chevaughn",  0,  1,  0,20151229,,
        6563,         2230,         1042,        64243,"chevaughn",  0,  1,  0,20151229,,
        6564,         2231,         1042,        64256,"chevaughn",  0,  1,  0,20151229,,
        6565,         2232,         1042,        64228,"chevaughn",  0,  1,  0,20151229,,
        6566,         2233,         1042,        64246,"chevaughn",  0,  1,  0,20151229,,
        6567,         2234,         1042,        64227,"chevaughn",  0,  1,  0,20151229,,
        6568,         2235,         1042,        64234,"chevaughn",  0,  1,  0,20151229,,
        6569,         2236,         1042,        64210,"chevaughn",  0,  1,  0,20151229,,
        6570,         2237,         1042,        64269,"chevaughn",  0,  1,  0,20151229,,
        6571,         2238,         1042,        64225,"chevaughn",  0,  1,  0,20151229,,
        6572,         2239,         1042,        64231,"chevaughn",  0,  1,  0,20151229,,
        6573,         2240,         1042,        64203,"chevaughn",  0,  1,  0,20151229,,
        6574,         2241,         1042,        64245,"chevaughn",  0,  1,  0,20151229,,
        6575,         2242,         1042,        64252,"chevaughn",  0,  1,  0,20151229,,
        6576,         2243,         1042,        64254,"chevaughn",  0,  1,  0,20151229,,
        6577,         2244,         1042,        64204,"chevaughn",  0,  1,  0,20151229,,
        6578,         2245,         1042,        64208,"chevaughn",  0,  1,  0,20151229,,
        6579,         2246,         1042,        64263,"chevaughn",  0,  1,  0,20151229,,
        6580,         2247,         1042,        64209,"chevaughn",  0,  1,  0,20151229,,
        6581,         2248,         1042,        64202,"chevaughn",  0,  1,  0,20151229,,
        6582,         2249,         1042,        64230,"chevaughn",  0,  1,  0,20151229,,
        6583,         2250,         1042,        64260,"chevaughn",  0,  1,  0,20151229,,
        6584,         2251,         1042,        64215,"chevaughn",  0,  1,  0,20151229,,
        6585,         2252,         1042,        64201,"chevaughn",  0,  1,  0,20151229,,
        6586,         2253,         1042,        64226,"chevaughn",  0,  1,  0,20151229,,
        6587,         2254,         1042,        64205,"chevaughn",  0,  1,  0,20151229,,
        6588,         2255,         1042,        64235,"chevaughn",  0,  1,  0,20151229,,
        6589,         2256,         1042,        64229,"chevaughn",  0,  1,  0,20151229,,
        6590,         2257,         1042,        64236,"chevaughn",  0,  1,  0,20151229,,
        6591,         2258,         1042,        64220,"chevaughn",  0,  1,  0,20151229,,
        6592,         2259,         1042,        64240,"chevaughn",  0,  1,  0,20151229,,
        6593,         2260,         1042,        64259,"chevaughn",  0,  1,  0,20151229,,
        6594,         2261,         1042,        64218,"chevaughn",  0,  1,  0,20151229,,
        6595,         2262,         1042,        64216,"chevaughn",  0,  1,  0,20151229,,
        6596,         2263,         1042,        64199,"chevaughn",  0,  1,  0,20151229,,
        6597,         2264,         1041,        64162,"chevaughn",  0,  1,  0,20151230,,
        6598,         2265,         1041,        64151,"chevaughn",  0,  1,  0,20151230,,
        6599,         2266,         1041,        64131,"chevaughn",  0,  1,  0,20151230,,
        6600,         2267,         1041,        64145,"chevaughn",  0,  1,  0,20151230,,
        6601,         2268,         1041,        64165,"chevaughn",  0,  1,  0,20151230,,
        6603,         2269,         1041,        64183,"chevaughn",  0,  1,  0,20151230,,
        6604,         2270,         1041,        64141,"chevaughn",  0,  1,  0,20151230,,
        6605,         2271,         1041,        64180,"chevaughn",  0,  1,  0,20151230,,
        6606,         2272,         1041,        64163,"chevaughn",  0,  1,  0,20151230,,
        6607,         2273,         1041,        64128,"chevaughn",  0,  1,  0,20151230,,
        6608,         2274,         1041,        64161,"chevaughn",  0,  1,  0,20151230,,
        6609,         2275,         1041,        64159,"chevaughn",  0,  1,  0,20151230,,
        6610,         2276,         1041,        64149,"chevaughn",  0,  1,  0,20151230,,
        6611,         2277,         1041,        64140,"chevaughn",  0,  1,  0,20151230,,
        6612,         2278,         1041,        64178,"chevaughn",  0,  1,  0,20151230,,
        6613,         2279,         1041,        64192,"chevaughn",  0,  1,  0,20151230,,
        6614,         2280,         1041,        64176,"chevaughn",  0,  1,  0,20151230,,
        6615,         2281,         1041,        64135,"chevaughn",  0,  1,  0,20151230,,
        6616,         2282,         1041,        64182,"chevaughn",  0,  1,  0,20151230,,
        6617,         2283,         1041,        64193,"chevaughn",  0,  1,  0,20151230,,
        6618,         2284,         1041,        64156,"chevaughn",  0,  1,  0,20151230,,
        6620,         2285,         1041,        64154,"chevaughn",  0,  1,  0,20151230,,
        6621,         2286,         1041,        64155,"chevaughn",  0,  1,  0,20151230,,
        6622,         2287,         1041,        64170,"chevaughn",  0,  1,  0,20151230,,
        6623,         2288,         1041,        64181,"chevaughn",  0,  1,  0,20151230,,
        6624,         2289,         1041,        64139,"chevaughn",  0,  1,  0,20151230,,
        6625,         2290,         1041,        64144,"chevaughn",  0,  1,  0,20151230,,
        6626,         2291,         1041,        64189,"chevaughn",  0,  1,  0,20151230,,
        6627,         2292,         1041,        64146,"chevaughn",  0,  1,  0,20151230,,
        6628,         2293,         1041,        64138,"chevaughn",  0,  1,  0,20151230,,
        6629,         2294,         1041,        64190,"chevaughn",  0,  1,  0,20151230,,
        6630,         2295,         1041,        64143,"chevaughn",  0,  1,  0,20151230,,
        6631,         2296,         1041,        64127,"chevaughn",  0,  1,  0,20151230,,
        6632,         2297,         1041,        64157,"chevaughn",  0,  1,  0,20151230,,
        6633,         2298,         1041,        64166,"chevaughn",  0,  1,  0,20151230,,
        6634,         2299,         1041,        64129,"chevaughn",  0,  1,  0,20151230,,
        6635,         2300,         1041,        64179,"chevaughn",  0,  1,  0,20151230,,
        6636,         2301,         1041,        64125,"chevaughn",  0,  1,  0,20151230,,
        6637,         2302,         1041,        64133,"chevaughn",  0,  1,  0,20151230,,
        6638,         2303,         1041,        64137,"chevaughn",  0,  1,  0,20151230,,
        6639,         2304,         1041,        64172,"chevaughn",  0,  1,  0,20151230,,
        6640,         2305,         1041,        64147,"chevaughn",  0,  1,  0,20151230,,
        6641,         2306,         1041,        64185,"chevaughn",  0,  1,  0,20151230,,
        6642,         2307,         1041,        64174,"chevaughn",  0,  1,  0,20151230,,
        6643,         2308,         1041,        64186,"chevaughn",  0,  1,  0,20151230,,
        6644,         2309,         1041,        64175,"chevaughn",  0,  1,  0,20151230,,
        6645,         2310,         1041,        64173,"chevaughn",  0,  1,  0,20151230,,
        6646,         2311,         1041,        64134,"chevaughn",  0,  1,  0,20151230,,
        6648,         2312,         1041,        64195,"chevaughn",  0,  1,  0,20151230,,
        6649,         2313,         1041,        64184,"chevaughn",  0,  1,  0,20151230,,
        6650,         2314,         1041,        64187,"chevaughn",  0,  1,  0,20151230,,
        6651,         2315,         1041,        64191,"chevaughn",  0,  1,  0,20151230,,
        6652,         2316,         1041,        64169,"chevaughn",  0,  1,  0,20151230,,
        6653,         2317,         1041,        64177,"chevaughn",  0,  1,  0,20151230,,
        6654,         2318,         1041,        64136,"chevaughn",  0,  1,  0,20151230,,
        6655,         2319,         1041,        64152,"chevaughn",  0,  1,  0,20151230,,
        6656,         2320,         1041,        64132,"chevaughn",  0,  1,  0,20151230,,
        6657,         2321,         1041,        64194,"chevaughn",  0,  1,  0,20151230,,
        6658,         2322,         1041,        64150,"chevaughn",  0,  1,  0,20151230,,
        6659,         2323,         1041,        64188,"chevaughn",  0,  1,  0,20151230,,
        6660,         2324,         1041,        64153,"chevaughn",  0,  1,  0,20151230,,
        6661,         2325,         1041,        64130,"chevaughn",  0,  1,  0,20151230,,
        6662,         2326,         1041,        64158,"chevaughn",  0,  1,  0,20151230,,
        6663,         2327,         1041,        64197,"chevaughn",  0,  1,  0,20151230,,
        6664,         2328,         1041,        64168,"chevaughn",  0,  1,  0,20151230,,
        6665,         2329,         1041,        64126,"chevaughn",  0,  1,  0,20151230,,
        6666,         2330,         1041,        64164,"chevaughn",  0,  1,  0,20151230,,
        6667,         2331,         1041,        64160,"chevaughn",  0,  1,  0,20151230,,
        6668,         2332,         1041,        64167,"chevaughn",  0,  1,  0,20151230,,
        6669,         2333,         1041,        64196,"chevaughn",  0,  1,  0,20151230,,
        6670,         2334,         1041,        64142,"chevaughn",  0,  1,  0,20151230,,
        6671,         2335,         1041,        64171,"chevaughn",  0,  1,  0,20151230,,
        6672,         2336,         1041,        64148,"myriam",  0,  1,  0,20151230,,
        6674,         2337,         1052,        64961,"SHERICA",  0,  1,  0,20151231,,
        6675,         2338,         1052,        64967,"SHERICA",  0,  1,  0,20151231,,
        6676,         2339,         1052,        64962,"SHERICA",  0,  1,  0,20151231,,
        6677,         2340,         1052,        64972,"SHERICA",  0,  1,  0,20151231,,
        6678,         2341,         1052,        64960,"SHERICA",  0,  1,  0,20151231,,
        6679,         2342,         1052,        64980,"SHERICA",  0,  1,  0,20151231,,
        6680,         2343,         1052,        64976,"SHERICA",  0,  1,  0,20151231,,
        6681,         2344,         1052,        64963,"SHERICA",  0,  1,  0,20151231,,
        6682,         2345,         1052,        64966,"SHERICA",  0,  1,  0,20151231,,
        6683,         2346,         1052,        64983,"SHERICA",  0,  1,  0,20151231,,
        6684,         2347,         1052,        64977,"SHERICA",  0,  1,  0,20151231,,
        6685,         2348,         1052,        64965,"SHERICA",  0,  1,  0,20151231,,
        6686,         2349,         1052,        64984,"SHERICA",  0,  1,  0,20151231,,
        6687,         2350,         1052,        64982,"SHERICA",  0,  1,  0,20151231,,
        6688,         2351,         1052,        64957,"SHERICA",  0,  1,  0,20151231,,
        6690,         2352,         1052,        64959,"SHERICA",  0,  1,  0,20151231,,
        6691,         2353,         1052,        64973,"SHERICA",  0,  1,  0,20151231,,
        6692,         2354,         1048,        64638,"VENNESA",  0,  1,  0,20151231,,
        6693,         2355,         1048,        64706,"VENNESA",  0,  1,  0,20151231,,
        6694,         2356,         1048,        64652,"VENNESA",  0,  1,  0,20151231,,
        6695,         2357,         1048,        64661,"VENNESA",  0,  1,  0,20151231,,
        6696,         2358,         1048,        64693,"VENNESA",  0,  1,  0,20151231,,
        6697,         2359,         1048,        64645,"VENNESA",  0,  1,  0,20151231,,
        6698,         2360,         1048,        64636,"VENNESA",  0,  1,  0,20151231,,
        6699,         2361,         1052,        64968,"SHERICA",  0,  1,  0,20151231,,
        6700,         2362,         1052,        64971,"SHERICA",  0,  1,  0,20151231,,
        6701,         2363,         1048,        64630,"VENNESA",  0,  1,  0,20151231,,
        6702,         2364,         1052,        64958,"SHERICA",  0,  1,  0,20151231,,
        6703,         2365,         1052,        64969,"SHERICA",  0,  1,  0,20151231,,
        6704,         2366,         1048,        64647,"VENNESA",  0,  1,  0,20151231,,
        6705,         2367,         1052,        64956,"SHERICA",  0,  1,  0,20151231,,
        6706,         2368,         1052,        64955,"SHERICA",  0,  1,  0,20151231,,
        6707,         2369,         1048,        64665,"VENNESA",  0,  1,  0,20151231,,
        6708,         2370,         1048,        64687,"VENNESA",  0,  1,  0,20151231,,
        6709,         2371,         1052,        64979,"SHERICA",  0,  1,  0,20151231,,
        6710,         2372,         1052,        64975,"SHERICA",  0,  1,  0,20151231,,
        6711,         2373,         1052,        64981,"SHERICA",  0,  1,  0,20151231,,
        6712,         2374,         1052,        64964,"SHERICA",  0,  1,  0,20151231,,
        6713,         2375,         1052,        64974,"SHERICA",  0,  1,  0,20151231,,
        6714,         2376,         1052,        64970,"SHERICA",  0,  1,  0,20151231,,
        6715,         2377,         1052,        64978,"SHERICA",  0,  1,  0,20151231,,
        6716,         2378,         1048,        64701,"VENNESA",  0,  1,  0,20151231,,
        6717,         2379,         1048,        64678,"VENNESA",  0,  1,  0,20151231,,
        6718,         2380,         1048,        64650,"VENNESA",  0,  1,  0,20151231,,
        6719,         2381,         1048,        64670,"VENNESA",  0,  1,  0,20151231,,
        6720,         2382,         1048,        64700,"VENNESA",  0,  1,  0,20151231,,
        6721,         2383,         1048,        64699,"VENNESA",  0,  1,  0,20151231,,
        6722,         2384,         1048,        64680,"chevaughn",  0,  1,  0,20160104,,
        6723,         2385,         1048,        64690,"chevaughn",  0,  1,  0,20160104,,
        6724,         2386,         1048,        64698,"chevaughn",  0,  1,  0,20160104,,
        6725,         2387,         1048,        64674,"chevaughn",  0,  1,  0,20160104,,
        6726,         2388,         1048,        64664,"chevaughn",  0,  1,  0,20160104,,
        6727,         2389,         1048,        64704,"chevaughn",  0,  1,  0,20160104,,
        6728,         2390,         1048,        64703,"chevaughn",  0,  1,  0,20160104,,
        6730,         2391,         1048,        64675,"chevaughn",  0,  1,  0,20160104,,
        6731,         2392,         1048,        64668,"chevaughn",  0,  1,  0,20160104,,
        6732,         2393,         1048,        64634,"chevaughn",  0,  1,  0,20160104,,
        6736,         2394,         1048,        64646,"chevaughn",  0,  1,  0,20160104,,
        6737,         2395,         1048,        64676,"chevaughn",  0,  1,  0,20160104,,
        6738,         2396,         1048,        64707,"chevaughn",  0,  1,  0,20160104,,
        6744,         2397,         1048,        64663,"chevaughn",  0,  1,  0,20160104,,
        6745,         2398,         1048,        64643,"chevaughn",  0,  1,  0,20160104,,
        6746,         2399,         1048,        64696,"chevaughn",  0,  1,  0,20160104,,
        6748,         2400,         1048,        64684,"chevaughn",  0,  1,  0,20160104,,
        6749,         2401,         1048,        64659,"chevaughn",  0,  1,  0,20160104,,
        6751,         2402,         1048,        64673,"chevaughn",  0,  1,  0,20160104,,
        6752,         2403,         1048,        64662,"chevaughn",  0,  1,  0,20160104,,
